nama_universitas,kota,provinsi,kode_pt,status_pt,akreditasi_institusi,tanggal_berdiri,no_sk_pendirian,tanggal_sk_pendirian,telepon_1,telepon_2,email,website,alamat_lengkap
Universitas Jember,Kab. Jember,Prov. Jawa Timur,-,Jenjang,"1
dari
27",-,"Kontak
0331330224
0331337422
humas@unej.ac.id
www.unej.ac.id","Kontak
0331330224
0331337422
humas@unej.ac.id
www.unej.ac.id",-,-,-,,"Jalan Kalimantan No 37 Kampus Tegalboto, Kec. Sumbersari, Kab. Jember, Prov. Jawa Timur"
Universitas Jenderal Soedirman,Kab. Banyumas,Prov. Jawa Tengah,-,Jenjang,"1
dari
29",-,"Kontak
0281-635292
0281-631802
bakunsoed@gmail.com
www.unsoed.ac.id","Kontak
0281-635292
0281-631802
bakunsoed@gmail.com
www.unsoed.ac.id",-,-,-,,"Jl Prof Dr HR Boenyamin 708 , Kec. Purwokerto Utara, Kab. Banyumas, Prov. Jawa Tengah"
Universitas Khairun,Kota Ternate,Prov. Maluku Utara,-,Jenjang,"1
dari
12",-,"Kontak
0921-31109013110903
0921-3110901
univkhairun_tte@yahoo.co.id
unkhair.ac.id","Kontak
0921-31109013110903
0921-3110901
univkhairun_tte@yahoo.co.id
unkhair.ac.id",-,-,-,,"Jalan Pertamina Kampus II Gambesi, Kec. Ternate Selatan, Kota Ternate, Prov. Maluku Utara"
Universitas Lambung Mangkurat,Kota Banjarmasin,Prov. Kalimantan Selatan,-,Jenjang,"1
dari
37",-,"Kontak
0511306694
0511306694
humas@ulm.ac.id
http://www.ulm.ac.id","Kontak
0511306694
0511306694
humas@ulm.ac.id
http://www.ulm.ac.id",-,-,-,,"Jalan Brigjen H Hasan Basri , Kec. Banjarmasin Utara, Kota Banjarmasin, Prov. Kalimantan Selatan"
Universitas Lampung,Kota Bandar Lampung,Prov. Lampung,-,-,-,-,"Kontak
0721701609
0721701609
humas@kpa.unila.ac.id
www.unila.ac.id","Kontak
0721701609
0721701609
humas@kpa.unila.ac.id
www.unila.ac.id",-,-,-,,"Jl Sumantri Brojonegoro No 1 Gedong Meneng, Kec. Rajabasa, Kota Bandar Lampung, Prov. Lampung"
Universitas Malikussaleh,Kab. Aceh Utara,Prov. Aceh,-,Jenjang,"1
dari
12",-,"Kontak
0645-41373
0645-44450
info@unimal.ac.id
www.unimal.ac.id","Kontak
0645-41373
0645-44450
info@unimal.ac.id
www.unimal.ac.id",-,-,-,,"Cot Tengku Nie Reuleut Muara Batu, Aceh Utara, Kec. Muara Batu, Kab. Aceh Utara, Prov. Aceh"
Universitas Mataram,Kota Mataram,Prov. Nusa Tenggara Barat,-,Jenjang,"1
dari
18",-,"Kontak
0370-633007
0370-636041
rektor@unram.ac.id
www.unram.ac.id","Kontak
0370-633007
0370-636041
rektor@unram.ac.id
www.unram.ac.id",-,-,-,,"Jalan Majapahit No 62 , Kec. Selaperang, Kota Mataram, Prov. Nusa Tenggara Barat"
Universitas Mulawarman,-,-,-,-,-,-,"Kontak
...
...
...
...","Kontak
...
...
...
...",-,-,-,,...
Universitas Musamus,Kab. Merauke,Prov. Papua,-,Jenjang,"1
dari
8",-,"Kontak
0971-330651
0971-325976
info@unmus.ac.id
www.unmus.ac.id","Kontak
0971-330651
0971-325976
info@unmus.ac.id
www.unmus.ac.id",-,-,-,,"Jalan Kamizaun Mopah Lama Merauke , Kab. Merauke, Prov. Papua"
Universitas Negeri Makassar,Kota Makassar,Prov. Sulawesi Selatan,-,Jenjang,"1
dari
37",-,"Kontak
0411865677
0411861377
admin@unm.ac.id
www.unm.ac.id","Kontak
0411865677
0411861377
admin@unm.ac.id
www.unm.ac.id",-,-,-,,"Jalan A P Pettarani Gunungsari, Kec. Rappocini, Kota Makassar, Prov. Sulawesi Selatan"
Universitas Negeri Manado,Kab. Minahasa,Prov. Sulawesi Utara,-,Jenjang,"1
dari
20",-,"Kontak
04321321845
0431321866
info@unima.ac.id
www.unima.ac.id","Kontak
04321321845
0431321866
info@unima.ac.id
www.unima.ac.id",-,-,-,,"Jalan Kampus Unima , Kec. Tondano Selatan, Kab. Minahasa, Prov. Sulawesi Utara"
Universitas Negeri Medan,Kota Medan,Prov. Sumatera Utara,-,Jenjang,"1
dari
23",-,"Kontak
061-6613365,6613276
061-6614002, 6613319
admin@unimed.ac.id
http://www.unimed.ac.id","Kontak
061-6613365,6613276
061-6614002, 6613319
admin@unimed.ac.id
http://www.unimed.ac.id",-,-,-,,"Jalan Willem Iskandar Pasar V Medan Estate, Kota Medan, Prov. Sumatera Utara"
Universitas Nusa Cendana,Kota Kupang,Prov. Nusa Tenggara Timur,-,Jenjang,"1
dari
17",-,"Kontak
(0380) 881580
881674
info@undana.ac.id
https://www.undana.ac.id","Kontak
(0380) 881580
881674
info@undana.ac.id
https://www.undana.ac.id",-,-,-,,"Jalan Adisucipto Penfui , Kota Kupang, Prov. Nusa Tenggara Timur"
Universitas Palangka Raya,Kota Palangka Raya,Prov. Kalimantan Tengah,-,Jenjang,"1
dari
16",-,"Kontak
0536-3227111
0536-3227111
info@upr.ac.id
upr.ac.id","Kontak
0536-3227111
0536-3227111
info@upr.ac.id
upr.ac.id",-,-,-,,"Kampus Unpar Tunjung Nyaho Jl. Yos Sudarso, Kota Palangka Raya, Prov. Kalimantan Tengah"
Universitas Pattimura,Kota Ambon,Prov. Maluku,-,Jenjang,"1
dari
25",-,"Kontak
(0911)322626
(0911)322626
rektor@unpatti.ac.id
www.unpatti.ac.id","Kontak
(0911)322626
(0911)322626
rektor@unpatti.ac.id
www.unpatti.ac.id",-,-,-,,"Jalan Ir M Putuhena, Kampus Poka, AMBON , Kec. Teluk Ambon, Kota Ambon, Prov. Maluku"
Universitas Pembangunan Nasional Veteran Jakarta,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,-,Jenjang,"1
dari
5",-,"Kontak
021-7656971
021-7656904
puskom@upnvj.ac.id
www.upnvj.ac.id","Kontak
021-7656971
021-7656904
puskom@upnvj.ac.id
www.upnvj.ac.id",-,-,-,,"Jl RS Fatmawati Pondok Labu , Kec. Cilandak, Kota Jakarta Selatan, Prov. D.K.I. Jakarta"
Universitas Pembangunan Nasional Veteran Jawa Timur,Kota Surabaya,Prov. Jawa Timur,-,Jenjang,"1
dari
9",-,"Kontak
031-870-6369
031-870-6372
admik@upnjatim.ac.id
www.upnjatim.ac.id","Kontak
031-870-6369
031-870-6372
admik@upnjatim.ac.id
www.upnjatim.ac.id",-,-,-,,"Jl Raya Rungkut Madya Gunung Anyar Surabaya, Kec. Gununganyar, Kota Surabaya, Prov. Jawa Timur"
Universitas Pembangunan Nasional Veteran Yogyakarta,Kab. Sleman,Prov. D.I. Yogyakarta,-,Jenjang,"1
dari
7",-,"Kontak
0274 486733
0274 486400
info@upnyk.ac.id
http://upnyk.ac.id/","Kontak
0274 486733
0274 486400
info@upnyk.ac.id
http://upnyk.ac.id/",-,-,-,,"Jl. SWK 104 (Lingkar Utara), Condongcatur, Yogyakarta, Kec. Depok, Kab. Sleman, Prov. D.I. Yogyakarta"
Universitas Pendidikan Ganesha,Kab. Buleleng,Prov. Bali,-,Jenjang,"1
dari
20",-,"Kontak
0362-22570
0362-25735
humas@undiksha.ac.id
https://www.undiksha.ac.id","Kontak
0362-22570
0362-25735
humas@undiksha.ac.id
https://www.undiksha.ac.id",-,-,-,,"Jalan Udayana Nomor 11 Singaraja , Kec. Buleleng, Kab. Buleleng, Prov. Bali"
Universitas Riau,Kab. Indragiri Hulu,Prov. Riau,-,Jenjang,"1
dari
2",-,Kontak,Kontak,-,-,-,,", Kab. Indragiri Hulu, Prov. Riau"
Universitas Sam Ratulangi,Kota Manado,Prov. Sulawesi Utara,-,Jenjang,"1
dari
20",-,"Kontak
0431-863886
0431-822568
rektorat@unsrat.ac.id
www.unsrat.ac.id","Kontak
0431-863886
0431-822568
rektorat@unsrat.ac.id
www.unsrat.ac.id",-,-,-,,"Kampus Unsrat Bahu , Kec. Malalayang, Kota Manado, Prov. Sulawesi Utara"
Universitas Siliwangi,Kota Tasikmalaya,Prov. Jawa Barat,-,Jenjang,"1
dari
7",-,"Kontak
0265-330634
0265-325812
info@unsil.ac.id
www.unsil.ac.id","Kontak
0265-330634
0265-325812
info@unsil.ac.id
www.unsil.ac.id",-,-,-,,"Jalan Siliwangi No 24 , Kec. Tawang, Kota Tasikmalaya, Prov. Jawa Barat"
Universitas Singaperbangsa Karawang,Kab. Karawang,Prov. Jawa Barat,-,Jenjang,"1
dari
4",-,"Kontak
0267-641177
0267-641367
www.ac.id","Kontak
0267-641177
0267-641367
www.ac.id",-,-,-,,"Jl HS Ronggowaluyo Telukjambe , Kab. Karawang, Prov. Jawa Barat"
Universitas Sultan Ageng Tirtayasa,Kab. Serang,Prov. Banten,-,Jenjang,"1
dari
19",-,"Kontak
0254-3204321
0254-281254
humas@untirta.ac.id
http://www.untirta.ac.id","Kontak
0254-3204321
0254-281254
humas@untirta.ac.id
http://www.untirta.ac.id",-,-,-,,"Jl Raya Palka KM. 03 Sindangsari, Kec. Pabuaran, Kab. Serang, Provinsi Banten, Kab. Serang, Prov. Banten"
Universitas Tadulako,Kota Palu,Prov. Sulawesi Tengah,-,Jenjang,"1
dari
23",-,"Kontak
0451-422611
0541-422355
untad@untad.ac.id
www.untad.ac.id","Kontak
0451-422611
0541-422355
untad@untad.ac.id
www.untad.ac.id",-,-,-,,"Kampus Bumi Tadulako Tondo , Kota Palu, Prov. Sulawesi Tengah"
Universitas Tanjungpura,Kota Pontianak,Prov. Kalimantan Barat,-,Jenjang,"1
dari
24",-,"Kontak
0561-736033,739630
0561-739630,739636
1) untan_59@untan.ac.id; 2) untan_59@untan.ac.id
https://untan.ac.id","Kontak
0561-736033,739630
0561-739630,739636
1) untan_59@untan.ac.id; 2) untan_59@untan.ac.id
https://untan.ac.id",-,-,-,,"Jalan Jenderal Ahmad Yani , Kec. Pontianak Tenggara, Kota Pontianak, Prov. Kalimantan Barat"
Universitas Tidar,Kota Magelang,Prov. Jawa Tengah,-,Jenjang,"1
dari
7",-,"Kontak
0293 - 364113
0293 - 362438
humas@untidar.ac.id
untidar.ac.id","Kontak
0293 - 364113
0293 - 362438
humas@untidar.ac.id
untidar.ac.id",-,-,-,,"Jalan Kapten Suparman 39 Magelang, Kec. Magelang Utara, Kota Magelang, Prov. Jawa Tengah"
Universitas Udayana,Kab. Badung,Prov. Bali,-,Jenjang,"1
dari
36",-,"Kontak
0361-701954
0361-701907
info@unud.ac.id
www.unud.ac.id","Kontak
0361-701954
0361-701907
info@unud.ac.id
www.unud.ac.id",-,-,-,,"Jl.Kampus Bukit UNUD Jimbaran ,Badung-Bali, Kab. Badung, Prov. Bali"
